Hash,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,imageURL,thumbURL
10000-00000,Moto,SP23,AIRMATIC,Gloves,Gloves,Black/Charcoal,TRUE,TRUE,10000-00000,10000-00000,10000-00001,10000-00002,10000-00003,10000-00004,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=83745010-d7a3-48f5-b105-540048e94a48,https://fs.amplifi.io//file?id=83745010-d7a3-48f5-b105-540048e94a48&variant=thumb&extension=png
10000-00005,Moto,SP23,AIRMATIC,Gloves,Gloves,Blue,TRUE,TRUE,10000-00005,10000-00005,10000-00006,10000-00007,10000-00008,10000-00009,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=cb2fe8f6-f348-4f24-b633-ce04387bd678,https://fs.amplifi.io//file?id=cb2fe8f6-f348-4f24-b633-ce04387bd678&variant=thumb&extension=png
10000-00010,Moto,SP23,AIRMATIC,Gloves,Gloves,Fluo Yellow/Black,TRUE,TRUE,10000-00010,10000-00010,10000-00011,10000-00012,10000-00013,10000-00014,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=788afd2d-fab4-4999-aec6-850bdcc843bf,https://fs.amplifi.io//file?id=788afd2d-fab4-4999-aec6-850bdcc843bf&variant=thumb&extension=png
10000-00015,Moto,SP23,AIRMATIC,Gloves,Gloves,Navy/White,TRUE,FALSE,10000-00015,10000-00015,10000-00016,10000-00017,10000-00018,10000-00019,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=2f6998c1-0305-4578-9969-ddb5ba23e70d,https://fs.amplifi.io//file?id=2f6998c1-0305-4578-9969-ddb5ba23e70d&variant=thumb&extension=png
10000-00025,Moto,SP23,AIRMATIC,Gloves,Gloves,Red/Black,TRUE,TRUE,10000-00025,10000-00025,10000-00026,10000-00027,10000-00028,10000-00029,,,S,M,L,XL,2XL,,,32.5,32.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=b1dd0426-5bf3-4f40-90af-0a9d84376b7b,https://fs.amplifi.io//file?id=b1dd0426-5bf3-4f40-90af-0a9d84376b7b&variant=thumb&extension=png
10001-00000,Moto,SP23,AIRMATIC,Youth Gloves,Gloves,Black/Charcoal,TRUE,TRUE,10001-00000,10001-00000,10001-00001,10001-00002,10001-00003,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=3f3e89ef-0659-4cf2-b6f3-468021a4acb7,https://fs.amplifi.io//file?id=3f3e89ef-0659-4cf2-b6f3-468021a4acb7&variant=thumb&extension=png
10001-00004,Moto,SP23,AIRMATIC,Youth Gloves,Gloves,Fluo Yellow/Black,TRUE,TRUE,10001-00004,10001-00004,10001-00005,10001-00006,10001-00007,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=3de52462-1165-439d-b9ac-e712be22325a,https://fs.amplifi.io//file?id=3de52462-1165-439d-b9ac-e712be22325a&variant=thumb&extension=png
10001-00008,Moto,SP23,AIRMATIC,Youth Gloves,Gloves,Red/Black,TRUE,TRUE,10001-00008,10001-00008,10001-00009,10001-00010,10001-00011,,,,S,M,L,XL,,,,26.5,26.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.","• Distinct embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• TPR details protect the knuckles and top of hand
• Mesh finger gussets enhance mobility and wick away moisture
• Perforated dual-layer Clarino® palm improves comfort and protects against blisters
• Silicone print on fingers for added grip and lever traction
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=31af1db9-b7d2-49dd-83b0-84276a440c6f,https://fs.amplifi.io//file?id=31af1db9-b7d2-49dd-83b0-84276a440c6f&variant=thumb&extension=png
10008-00005,Moto,SP23,ITRACK,Gloves,Gloves,Black,TRUE,TRUE,10008-00005,10008-00005,10008-00006,10008-00007,10008-00008,10008-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=65a310ba-99ff-4d95-8c1e-5138942f51bb,https://fs.amplifi.io//file?id=65a310ba-99ff-4d95-8c1e-5138942f51bb&variant=thumb&extension=png
10008-00010,Moto,SP23,ITRACK,Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10008-00010,10008-00010,10008-00011,10008-00012,10008-00013,10008-00014,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=160ff06a-435a-43f6-826f-68f2e9aa987c,https://fs.amplifi.io//file?id=160ff06a-435a-43f6-826f-68f2e9aa987c&variant=thumb&extension=png
10008-00015,Moto,SP23,ITRACK,Gloves,Gloves,Red,TRUE,TRUE,10008-00015,10008-00015,10008-00016,10008-00017,10008-00018,10008-00019,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=db6007be-c55a-49ef-abb3-d3b1f1496d3f,https://fs.amplifi.io//file?id=db6007be-c55a-49ef-abb3-d3b1f1496d3f&variant=thumb&extension=png
10009-00000,Moto,SP23,ITRACK,Youth Gloves,Gloves,Black,TRUE,TRUE,10009-00000,10009-00000,10009-00001,10009-00002,10009-00003,,,,S,M,L,XL,,,,24.5,24.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=3ce4a8a6-2918-4ae2-85cf-627ca155b803,https://fs.amplifi.io//file?id=3ce4a8a6-2918-4ae2-85cf-627ca155b803&variant=thumb&extension=png
10009-00004,Moto,SP23,ITRACK,Youth Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10009-00004,10009-00004,10009-00005,10009-00006,10009-00007,,,,S,M,L,XL,,,,24.5,24.5,VN,"41% Nylon
31% Polyester
15% Rubber
7% Polyurethane (PU)
6% Elastane",Complete Connectivity. Ultra-light materials are fused with the simplistic design top riders expect from a premium glove. Maximum comfort and durability. Minimum distractions.,"• Stylish embossed slip-on cuff for application ease and comfort
• Seamless mesh top hand improves fit over knuckles and increases airflow
• Mesh finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort while reducing bunching
• Silicone printed palm and finger graphics improve palm and lever traction
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=10882280-8c77-42da-bb09-7a03afb56b92,https://fs.amplifi.io//file?id=10882280-8c77-42da-bb09-7a03afb56b92&variant=thumb&extension=png
10010-00000,Moto,SP23,RIDEFIT,Gloves,Gloves,Black/White,TRUE,TRUE,10010-00000,10010-00000,10010-00001,10010-00002,10010-00003,10010-00004,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=58730d5a-7659-49b0-91ea-980eee434f4d,https://fs.amplifi.io//file?id=58730d5a-7659-49b0-91ea-980eee434f4d&variant=thumb&extension=png
10010-00005,Moto,SP23,RIDEFIT,Gloves,Gloves,Fluo Orange,TRUE,TRUE,10010-00005,10010-00005,10010-00006,10010-00007,10010-00008,10010-00009,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=5cdaf2d6-1a3b-4d57-81bb-07feb7c5a42a,https://fs.amplifi.io//file?id=5cdaf2d6-1a3b-4d57-81bb-07feb7c5a42a&variant=thumb&extension=png
10010-00025,Moto,SP23,RIDEFIT,Gloves,Gloves,Navy,TRUE,TRUE,10010-00025,10010-00025,10010-00026,10010-00027,10010-00028,10010-00029,,,S,M,L,XL,2XL,,,29.5,29.5,VN,"53% Nylon
18% Polyester
13% Rubber
9% Elastane
7% Polyurethane (PU)","Divine Simplicity. Precision engineering delivers a lightweight, high performance glove. The ergonomically crafted fit utilizes an embossed neoprene/TPR closure system for the most secure fit.","• Unique embossed neoprene cuff offers maximum durability and comfort
• Adjustable TPR wrist closure with hook and loop backing ensures proper fit
• Stretch finger gussets enhance mobility and wick away moisture
• Thumb overlay aids in reducing blisters
• Perforated single-layer Clarino® palm improves comfort with reduced bunching
• Silicone palm graphics complete the factory look and provides added grip
• Integrated tech-thread keeps you connected with your devices",https://fs.amplifi.io//file?id=84455af1-5e72-4042-a3f7-449dfba78cd4,https://fs.amplifi.io//file?id=84455af1-5e72-4042-a3f7-449dfba78cd4&variant=thumb&extension=png
10011-00000,"Bike, Moto",SP23,RIDECAMP,Gloves,Gloves,Army Green/Black,TRUE,TRUE,10011-00000,10011-00000,10011-00001,10011-00002,10011-00003,10011-00004,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=69238f5d-b778-48ab-be6f-87c1175367c9,https://fs.amplifi.io//file?id=69238f5d-b778-48ab-be6f-87c1175367c9&variant=thumb&extension=png
10011-00005,"Bike, Moto",SP23,RIDECAMP,Gloves,Gloves,Black,TRUE,TRUE,10011-00005,10011-00005,10011-00006,10011-00007,10011-00008,10011-00009,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=ce0bfcbf-d415-4db3-afb2-985556eebdf2,https://fs.amplifi.io//file?id=ce0bfcbf-d415-4db3-afb2-985556eebdf2&variant=thumb&extension=png
10011-00010,"Bike, Moto",SP23,RIDECAMP,Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10011-00010,10011-00010,10011-00011,10011-00012,10011-00013,10011-00014,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=77b46141-a9e6-40b7-b1c7-829e788d0f10,https://fs.amplifi.io//file?id=77b46141-a9e6-40b7-b1c7-829e788d0f10&variant=thumb&extension=png
10011-00015,"Bike, Moto",SP23,RIDECAMP,Gloves,Gloves,Navy/Slate Blue,TRUE,TRUE,10011-00015,10011-00015,10011-00016,10011-00017,10011-00018,10011-00019,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=a60beb11-18d8-4145-84f1-d791262dcd5d,https://fs.amplifi.io//file?id=a60beb11-18d8-4145-84f1-d791262dcd5d&variant=thumb&extension=png
10011-00020,"Bike, Moto",SP23,RIDECAMP,Gloves,Gloves,Red,TRUE,TRUE,10011-00020,10011-00020,10011-00021,10011-00022,10011-00023,10011-00024,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=7364c16a-596c-487c-9b58-35698bc24697,https://fs.amplifi.io//file?id=7364c16a-596c-487c-9b58-35698bc24697&variant=thumb&extension=png
10012-00000,"Bike, Moto",SP23,RIDECAMP,Youth Gloves,Gloves,Black/Charcoal,TRUE,TRUE,10012-00000,10012-00000,10012-00001,10012-00002,10012-00003,,,,S,M,L,XL,,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","•  Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=6fcd0471-5dce-4348-a90f-b0edbf31afd3,https://fs.amplifi.io//file?id=6fcd0471-5dce-4348-a90f-b0edbf31afd3&variant=thumb&extension=png
10012-00004,"Bike, Moto",SP23,RIDECAMP,Youth Gloves,Gloves,Red,TRUE,TRUE,10012-00004,10012-00004,10012-00005,10012-00006,10012-00007,,,,S,M,L,XL,,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","•  Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device",https://fs.amplifi.io//file?id=77c16f27-5de7-4f5b-bb7d-ebd83d3b0ee8,https://fs.amplifi.io//file?id=77c16f27-5de7-4f5b-bb7d-ebd83d3b0ee8&variant=thumb&extension=png
10017-00000,"Bike, Moto",SP23,HYDROMATIC,Gloves,Gloves,Black,TRUE,TRUE,10017-00000,10017-00000,10017-00001,10017-00002,10017-00003,10017-00004,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"65% Polyester
33% Polyurethane (PU)
2% Elastane",Dry & Light Weight. Mother Nature has met her match with this thin waterproof-breathable glove engineered to keep you going fast wet weather. Laminated mesh with waterproof breathable insert blocks out the water while maintaining exceptional dexterity and control of your bike.,"• Single-layer PU palm for weather protection
• Laminated mock-mesh top of hand fabric
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Extended waterproof self-goods pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device",https://fs.amplifi.io//file?id=75a51c97-3acb-489e-9646-8f3a0cf9279b,https://fs.amplifi.io//file?id=75a51c97-3acb-489e-9646-8f3a0cf9279b&variant=thumb&extension=png
10017-00005,"Bike, Moto",SP23,HYDROMATIC,Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10017-00005,10017-00005,10017-00006,10017-00007,10017-00008,10017-00009,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"65% Polyester
33% Polyurethane (PU)
2% Elastane",Dry & Light Weight. Mother Nature has met her match with this thin waterproof-breathable glove engineered to keep you going fast wet weather. Laminated mesh with waterproof breathable insert blocks out the water while maintaining exceptional dexterity and control of your bike.,"• Single-layer PU palm for weather protection
• Laminated mock-mesh top of hand fabric
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Extended waterproof self-goods pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device",https://fs.amplifi.io//file?id=4656fb18-06bc-40f6-a6de-de991f5867c0,https://fs.amplifi.io//file?id=4656fb18-06bc-40f6-a6de-de991f5867c0&variant=thumb&extension=png
10018-00000,"Bike, Moto",SP23,HYDROMATIC BRISKER,Gloves,Gloves,Black,TRUE,TRUE,10018-00000,10018-00000,10018-00001,10018-00002,10018-00003,10018-00004,,,S,M,L,XL,2XL,,,44.5,44.5,VN,"61% Polyester
23% Nylon
12% Polyurethane (PU)
4% Elastane","Warm, Dry & Light. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cold, wet weather. Laminated insulated shell with waterproof breathable insert blocks out the water and keeps they dry while maintaining exceptional dexterity and control of your bike.","• Single-layer PU palm for weather protection
• Lightly insulated soft-shell top hand ensures protection against colder temps
• Moisture wicking microfiber interior provides the perfect level of insulation
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Embossed graphics for some added texture
• Extended waterproof neoprene pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device",https://fs.amplifi.io//file?id=c14e73ed-fc30-4690-83cf-7c4f72b4b3aa,https://fs.amplifi.io//file?id=c14e73ed-fc30-4690-83cf-7c4f72b4b3aa&variant=thumb&extension=png
10018-00005,"Bike, Moto",SP23,HYDROMATIC BRISKER,Gloves,Gloves,Blue,TRUE,TRUE,10018-00005,10018-00005,10018-00006,10018-00007,10018-00008,10018-00009,,,S,M,L,XL,2XL,,,44.5,44.5,VN,"61% Polyester
23% Nylon
12% Polyurethane (PU)
4% Elastane","Warm, Dry & Light. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cold, wet weather. Laminated insulated shell with waterproof breathable insert blocks out the water and keeps they dry while maintaining exceptional dexterity and control of your bike.","• Single-layer PU palm for weather protection
• Lightly insulated soft-shell top hand ensures protection against colder temps
• Moisture wicking microfiber interior provides the perfect level of insulation
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Embossed graphics for some added texture
• Extended waterproof neoprene pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device",https://fs.amplifi.io//file?id=bb5f9f25-0f5a-4dc7-b18c-bf74e86c367b,https://fs.amplifi.io//file?id=bb5f9f25-0f5a-4dc7-b18c-bf74e86c367b&variant=thumb&extension=png
10019-00000,Bike,SP23,SLING,Bike Gloves,Gloves,Black,TRUE,TRUE,10019-00000,10019-00000,10019-00001,10019-00002,10019-00003,10019-00004,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=08be25a2-fe9f-436d-b261-8b9b440c4687,https://fs.amplifi.io//file?id=08be25a2-fe9f-436d-b261-8b9b440c4687&variant=thumb&extension=png
10019-00005,Bike,SP23,SLING,Bike Gloves,Gloves,Grey,TRUE,TRUE,10019-00005,10019-00005,10019-00006,10019-00007,10019-00008,10019-00009,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Integrated tech thread keeps you connected with your devices",https://fs.amplifi.io//file?id=96408de1-9cff-4833-8e71-0034e877b002,https://fs.amplifi.io//file?id=96408de1-9cff-4833-8e71-0034e877b002&variant=thumb&extension=png
