Hash,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,YouthWomen,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
Z-40003-00005,Bike,#N/A,R-CORE CONCEPT,Sleeveless Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Grey Camo,#N/A,TRUE,40003-00005,40003-00005,40003-00006,40003-00007,40003-00008,40003-00009,,,,,,,,,,59,59,CN,"94% Polyester
6% Elastane","R-Core Concept pieces elevate our standard R-Core collection of Downhill/Enduro riding gear to the next level. 4-way stretch materials along with additional weight saving materials and treatments result in our lightest weight, highest performing line of riding apparel.","• Polyester, elastane mesh fabric to aid in reducing body temperature
• Moisture management and anti microbial properties
• Taped neckline, arm holes and hem for weight reduction and comfort
• Fade resistant sublimated graphics
• Silicone heat transfer logos
• Tapered fit for improved aerodynamics
• Internal goggle wiper keeps your eye protection clean
• Wear over the R-Core Concept Jersey or as is",https://fs.amplifi.io//file?id=55259e2c-3b29-4694-af42-550dae17d40e,https://fs.amplifi.io//file?id=55259e2c-3b29-4694-af42-550dae17d40e&variant=thumb&extension=png,https://fs.amplifi.io//file?id=e3ca882b-13eb-461d-a681-691081d9f7e1,https://fs.amplifi.io//file?id=2123bc52-cd6c-4193-b016-a0e1dcc55767,https://fs.amplifi.io//file?id=55259e2c-3b29-4694-af42-550dae17d40e,https://fs.amplifi.io//file?id=b972ce26-980b-4280-8905-fc671cf4c829,https://fs.amplifi.io//file?id=7aebddfa-a83e-4516-89fc-7d308d718ffb,https://fs.amplifi.io//file?id=a6ae475f-443d-4f4e-bb83-48a5efca27a8,,,,,
Z-40003-00010,Bike,#N/A,R-CORE CONCEPT,Sleeveless Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Red,#N/A,TRUE,40003-00010,40003-00010,40003-00011,40003-00012,40003-00013,40003-00014,,,,,,,,,,59,59,CN,"94% Polyester
6% Elastane","R-Core Concept pieces elevate our standard R-Core collection of Downhill/Enduro riding gear to the next level. 4-way stretch materials along with additional weight saving materials and treatments result in our lightest weight, highest performing line of riding apparel.","• Polyester, elastane mesh fabric to aid in reducing body temperature
• Moisture management and anti microbial properties
• Taped neckline, arm holes and hem for weight reduction and comfort
• Fade resistant sublimated graphics
• Silicone heat transfer logos
• Tapered fit for improved aerodynamics
• Internal goggle wiper keeps your eye protection clean
• Wear over the R-Core Concept Jersey or as is",https://fs.amplifi.io//file?id=2ecade9d-a114-49f1-92fe-d277517304a9,https://fs.amplifi.io//file?id=2ecade9d-a114-49f1-92fe-d277517304a9&variant=thumb&extension=png,https://fs.amplifi.io//file?id=81af854b-7f22-4920-91b3-6922085a6e37,https://fs.amplifi.io//file?id=2ecade9d-a114-49f1-92fe-d277517304a9,https://fs.amplifi.io//file?id=ae28c5d8-aef7-4c80-8444-9530a0d62929,,,,,,,,
Z-40004-00005,Bike,#N/A,R-CORE CONCEPT,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Grey,#N/A,FALSE,40004-00005,40004-00005,40004-00006,40004-00007,40004-00008,40004-00009,,,,,,,,,,49,49,TW,"86% Polyester
14% Elastane","If you're looking for a competitive edge, this jersey has you covered. R-Core Concept is applying experience while redefining standards to yield different results. When every millisecond counts, this aerodynamic fit can make that difference.","• Polyester/Elastane jersey fabric
• Moisture Management Properties
• Aerodynamic chassis
• Screen printed graphics
• Flat-lock seams for comfort and resists chafing
• Wear under the R-Core Concept Bib or as is",https://fs.amplifi.io//file?id=7121b786-3f4f-4a08-90a2-9d59afca8842,https://fs.amplifi.io//file?id=7121b786-3f4f-4a08-90a2-9d59afca8842&variant=thumb&extension=png,https://fs.amplifi.io//file?id=82cb88b4-3008-4506-b9ef-0e66462e48d1,https://fs.amplifi.io//file?id=e3ca882b-13eb-461d-a681-691081d9f7e1,https://fs.amplifi.io//file?id=2123bc52-cd6c-4193-b016-a0e1dcc55767,https://fs.amplifi.io//file?id=7121b786-3f4f-4a08-90a2-9d59afca8842,,,,,,,
Z-40005-00000,Bike,#N/A,R-CORE,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/Racer Red,#N/A,FALSE,40005-00000,40005-00000,40005-00001,40005-00002,40005-00003,40005-00004,,,,,,,,,,59,59,TW,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Drop tail increases coverage in riding position
• Fade resistant sublimated graphics
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=14401306-6417-4e32-a56c-5cc4a2f4fd0b,https://fs.amplifi.io//file?id=14401306-6417-4e32-a56c-5cc4a2f4fd0b&variant=thumb&extension=png,https://fs.amplifi.io//file?id=14401306-6417-4e32-a56c-5cc4a2f4fd0b,https://fs.amplifi.io//file?id=146697ee-60b6-4a1e-ae0d-d393ea6b7829,https://fs.amplifi.io//file?id=21cb3570-c07a-43ed-b881-7e27d893e5bb,https://fs.amplifi.io//file?id=625a03f6-3be9-4e0d-8a44-1d6c0ad892d0,,,,,,,
Z-40005-00005,Bike,#N/A,R-CORE,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/Slate Blue,#N/A,FALSE,40005-00005,40005-00005,40005-00006,40005-00007,40005-00008,40005-00009,,,,,,,,,,59,59,TW,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Drop tail increases coverage in riding position
• Fade resistant sublimated graphics
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=0bee4462-744a-46f4-afa8-62ca90fce860,https://fs.amplifi.io//file?id=0bee4462-744a-46f4-afa8-62ca90fce860&variant=thumb&extension=png,https://fs.amplifi.io//file?id=1ecdf841-4abe-4279-bf03-204a30f2ee7f,https://fs.amplifi.io//file?id=f65736b1-4aef-4a74-aae5-bb95ca115b67,https://fs.amplifi.io//file?id=0bee4462-744a-46f4-afa8-62ca90fce860,https://fs.amplifi.io//file?id=d574e8f8-f3c2-4ff7-ba94-f2a4cd9d37c1,,,,,,,
Z-40005-00010,Bike,#N/A,R-CORE,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/White,#N/A,TRUE,40005-00010,40005-00010,40005-00011,40005-00012,40005-00013,40005-00014,,,,,,,,,,59,59,TW,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Drop tail increases coverage in riding position
• Fade resistant sublimated graphics
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=a63e1128-fa00-403d-8389-d4b37bacd13d,https://fs.amplifi.io//file?id=a63e1128-fa00-403d-8389-d4b37bacd13d&variant=thumb&extension=png,https://fs.amplifi.io//file?id=a63e1128-fa00-403d-8389-d4b37bacd13d,https://fs.amplifi.io//file?id=e5120825-a344-46fa-8f01-3f72ebf00147,https://fs.amplifi.io//file?id=f7ddbb6a-812a-4a8e-b4b0-73ac01090019,,,,,,,,
Z-40008-00000,Bike,#N/A,R-CORE,Youth Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Youth,Black/Racer Red,#N/A,FALSE,40008-00000,40008-00000,40008-00001,40008-00002,40008-00003,,,,,,,,,,,45,45,TW,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run. The same great features offered in our adult R Core gear have been specifically designed for optimum fit and protection for young riders. Ideal for both DH and BMX riding, R-Core gear exceeds the demands of the toughest critics on the track and trails.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Drop tail increases coverage in riding position
• Fade resistant sublimated graphics
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=8cec95ad-9bc3-4557-8d66-956c519e3bc3,https://fs.amplifi.io//file?id=8cec95ad-9bc3-4557-8d66-956c519e3bc3&variant=thumb&extension=png,https://fs.amplifi.io//file?id=b5a93559-4f34-4112-91d8-ab126d457160,https://fs.amplifi.io//file?id=6775cb5e-ed23-40f7-b2aa-c99423f3790e,https://fs.amplifi.io//file?id=29c2d1a1-5fde-4a5c-a2ef-58112281b9b4,https://fs.amplifi.io//file?id=8cec95ad-9bc3-4557-8d66-956c519e3bc3,,,,,,,
Z-40008-00004,Bike,#N/A,R-CORE,Youth Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Youth,Black/White,#N/A,TRUE,40008-00004,40008-00004,40008-00005,40008-00006,40008-00007,,,,,,,,,,,45,45,TW,100% Polyester,"R-Core represents our Downhill DNA with a premier line of technical riding apparel enabling you to attack your run with confidence and style. Crafted from durable, yet lightweight materials, R-Core is engineered to offer comfort and protection run after run. The same great features offered in our adult R Core gear have been specifically designed for optimum fit and protection for young riders. Ideal for both DH and BMX riding, R-Core gear exceeds the demands of the toughest critics on the track and trails.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Drop tail increases coverage in riding position
• Fade resistant sublimated graphics
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=26121172-3e9a-4f64-9008-5034da13a79a,https://fs.amplifi.io//file?id=26121172-3e9a-4f64-9008-5034da13a79a&variant=thumb&extension=png,https://fs.amplifi.io//file?id=152ad75c-11eb-426f-aad3-a2fa9d76c111,https://fs.amplifi.io//file?id=26121172-3e9a-4f64-9008-5034da13a79a,https://fs.amplifi.io//file?id=2b474e08-a524-401a-bdbd-efaa06a269e2,,,,,,,,
Z-40011-00000,Bike,#N/A,CELIUM,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/Charcoal,#N/A,FALSE,40011-00000,40011-00000,40011-00001,40011-00002,40011-00003,40011-00004,,,,,,,,,,69,69,TW,"89% Polyester
11% Elastane",Celium Premium All Mountain riding apparel enhances the ride with the superior comfort of premium materials.,"• 89% Polyester / 11% Elastane knit fabric with moisture management and anti-microbial properties
• Fade resistant sublimated graphics
• Reflective logos for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=c427d43d-6043-463a-bbb1-f7a60088bfdc,https://fs.amplifi.io//file?id=c427d43d-6043-463a-bbb1-f7a60088bfdc&variant=thumb&extension=png,https://fs.amplifi.io//file?id=3f04dcab-4f48-4275-b205-28d33581a35d,https://fs.amplifi.io//file?id=04161139-ae74-4683-9577-28084dd1faa3,https://fs.amplifi.io//file?id=030171d1-e70d-4a93-924e-88aa36636f05,https://fs.amplifi.io//file?id=c427d43d-6043-463a-bbb1-f7a60088bfdc,,,,,,,
Z-40011-00005,Bike,#N/A,CELIUM,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Forest Green/Black,#N/A,FALSE,40011-00005,40011-00005,40011-00006,40011-00007,40011-00008,40011-00009,,,,,,,,,,69,69,TW,"89% Polyester
11% Elastane",Celium Premium All Mountain riding apparel enhances the ride with the superior comfort of premium materials.,"• 89% Polyester / 11% Elastane knit fabric with moisture management and anti-microbial properties
• Fade resistant sublimated graphics
• Reflective logos for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=f9ffa9bc-217c-4c71-9f73-e429157ff4eb,https://fs.amplifi.io//file?id=f9ffa9bc-217c-4c71-9f73-e429157ff4eb&variant=thumb&extension=png,https://fs.amplifi.io//file?id=b9a98bd6-216b-48b4-b8d1-c69b4087c6e6,https://fs.amplifi.io//file?id=fe1d7eeb-8e14-495c-8e5b-8c394de4f46c,https://fs.amplifi.io//file?id=f9ffa9bc-217c-4c71-9f73-e429157ff4eb,https://fs.amplifi.io//file?id=72893060-cc3d-4dea-a6d2-deaddf86ddde,,,,,,,
Z-40011-00010,Bike,#N/A,CELIUM,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Grey/Racer Red,#N/A,FALSE,40011-00010,40011-00010,40011-00011,40011-00012,40011-00013,40011-00014,,,,,,,,,,69,69,TW,"89% Polyester
11% Elastane",Celium Premium All Mountain riding apparel enhances the ride with the superior comfort of premium materials.,"• 89% Polyester / 11% Elastane knit fabric with moisture management and anti-microbial properties
• Fade resistant sublimated graphics
• Reflective logos for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=e422d7ad-dae5-4552-8edb-4a028e1adcff,https://fs.amplifi.io//file?id=e422d7ad-dae5-4552-8edb-4a028e1adcff&variant=thumb&extension=png,https://fs.amplifi.io//file?id=34363d11-8c34-4f7d-a296-5b2e639c66f4,https://fs.amplifi.io//file?id=567557b9-2595-4e97-8d3b-a8bf3c1c9c82,https://fs.amplifi.io//file?id=e422d7ad-dae5-4552-8edb-4a028e1adcff,https://fs.amplifi.io//file?id=35b08c2d-a4cb-419a-b158-05f0d5f399af,,,,,,,
Z-40012-00000,Bike,#N/A,CELIUM,Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,,Black,#N/A,TRUE,40012-00000,40012-00000,40012-00001,40012-00002,40012-00003,40012-00004,40012-00005,40012-00006,,,,,,,,139,139,CN,"92% Polyester
8% Elastane","Celium Premium All Mountain riding apparel enhances the ride with the superior comfort of premium materials. Our BOA System dial and lace technology waist closure insures the perfect fit, while 4-way stretch construction provides unrestricted movement on the bike.","• DWR lightweight nylon/spandex 4-way stretch woven fabric
• Fully sewn then taped seams for maximum riding comfort and durability
• BOA System dial and lace technology for a lightweight, incrementally adjustable waist closure for the ideal fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Inseam laser perforations for increased airflow
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=7172f45e-b408-4886-9f89-d09d04753c5d,https://fs.amplifi.io//file?id=7172f45e-b408-4886-9f89-d09d04753c5d&variant=thumb&extension=png,https://fs.amplifi.io//file?id=4d8eca90-44a1-4c7b-8aa5-0198a2393e56,https://fs.amplifi.io//file?id=2a3e741f-08cf-4360-b07f-17b354779880,https://fs.amplifi.io//file?id=7172f45e-b408-4886-9f89-d09d04753c5d,,,,,,,,
Z-40012-00007,Bike,#N/A,CELIUM,Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,,Charcoal,#N/A,TRUE,40012-00007,40012-00007,40012-00008,40012-00009,40012-00010,40012-00011,40012-00012,40012-00013,,,,,,,,139,139,CN,"92% Polyester
8% Elastane","Celium Premium All Mountain riding apparel enhances the ride with the superior comfort of premium materials. Our BOA System dial and lace technology waist closure insures the perfect fit, while 4-way stretch construction provides unrestricted movement on the bike.","• DWR lightweight nylon/spandex 4-way stretch woven fabric
• Fully sewn then taped seams for maximum riding comfort and durability
• BOA System dial and lace technology for a lightweight, incrementally adjustable waist closure for the ideal fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Inseam laser perforations for increased airflow
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=0e96ed54-162f-4200-82b3-7d799e46b5a0,https://fs.amplifi.io//file?id=0e96ed54-162f-4200-82b3-7d799e46b5a0&variant=thumb&extension=png,https://fs.amplifi.io//file?id=970747c8-cb40-44b1-81c0-e8fde3b874bd,https://fs.amplifi.io//file?id=521134f5-db6e-443f-b9ae-46b6f833a540,https://fs.amplifi.io//file?id=0e96ed54-162f-4200-82b3-7d799e46b5a0,,,,,,,,
Z-40012-00014,Bike,#N/A,CELIUM,Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,,Forest Green,#N/A,FALSE,40012-00014,40012-00014,40012-00015,40012-00016,40012-00017,40012-00018,40012-00019,40012-00020,,,,,,,,139,139,CN,"92% Polyester
8% Elastane","Celium Premium All Mountain riding apparel enhances the ride with the superior comfort of premium materials. Our BOA System dial and lace technology waist closure insures the perfect fit, while 4-way stretch construction provides unrestricted movement on the bike.","• DWR lightweight nylon/spandex 4-way stretch woven fabric
• Fully sewn then taped seams for maximum riding comfort and durability
• BOA System dial and lace technology for a lightweight, incrementally adjustable waist closure for the ideal fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Inseam laser perforations for increased airflow
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=6716df8a-897c-4d95-acb8-42bb642e8a26,https://fs.amplifi.io//file?id=6716df8a-897c-4d95-acb8-42bb642e8a26&variant=thumb&extension=png,https://fs.amplifi.io//file?id=6716df8a-897c-4d95-acb8-42bb642e8a26,https://fs.amplifi.io//file?id=5d444f76-9f44-48f6-a331-08cde9194c1e,https://fs.amplifi.io//file?id=6cc30f47-9db0-414c-b7b9-cb9bd341117b,https://fs.amplifi.io//file?id=2790ab11-6024-4480-82b2-9c011cf9369f,,,,,,,
Z-40014-00000,Bike,#N/A,AIRMATIC,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/Charcoal,#N/A,FALSE,40014-00000,40014-00000,40014-00001,40014-00002,40014-00003,40014-00004,,,,,,,,,,49,49,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=45ea4712-e46a-44e8-a7df-13dd4ad4afd8,https://fs.amplifi.io//file?id=45ea4712-e46a-44e8-a7df-13dd4ad4afd8&variant=thumb&extension=png,https://fs.amplifi.io//file?id=45ea4712-e46a-44e8-a7df-13dd4ad4afd8,https://fs.amplifi.io//file?id=b6824874-fe68-4079-a7a0-d4e8655c27c6,https://fs.amplifi.io//file?id=bd203850-5077-4a52-ac9c-3e6dd6783919,https://fs.amplifi.io//file?id=8ee68170-cec3-4810-a11f-c45e7ee45408,,,,,,,
Z-40014-00005,Bike,#N/A,AIRMATIC LE,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black Camo,#N/A,FALSE,40014-00005,40014-00005,40014-00006,40014-00007,40014-00008,40014-00009,,,,,,,,,,54,54,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=cf7190df-33e2-4568-850a-aefc31b2b474,https://fs.amplifi.io//file?id=cf7190df-33e2-4568-850a-aefc31b2b474&variant=thumb&extension=png,https://fs.amplifi.io//file?id=8d67d398-a579-41e5-b908-d9586d044e6b,https://fs.amplifi.io//file?id=78d7a6a3-63bc-43e8-a739-6f82db98a687,https://fs.amplifi.io//file?id=a0a32407-09ac-4e5c-b2bf-d1e8f9f79ef3,https://fs.amplifi.io//file?id=cf7190df-33e2-4568-850a-aefc31b2b474,,,,,,,
Z-40014-00010,Bike,#N/A,AIRMATIC,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Charcoal/Racer Red,#N/A,FALSE,40014-00010,40014-00010,40014-00011,40014-00012,40014-00013,40014-00014,,,,,,,,,,49,49,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=562b26b2-f23a-40b5-a6d4-6a7b7727841d,https://fs.amplifi.io//file?id=562b26b2-f23a-40b5-a6d4-6a7b7727841d&variant=thumb&extension=png,https://fs.amplifi.io//file?id=c9f65634-7687-4a8f-929d-73c15a91e3fa,https://fs.amplifi.io//file?id=ef2fd8dd-9cdd-4ec8-b639-938815b7ca1c,https://fs.amplifi.io//file?id=79f4de52-6efa-4cec-ba2f-0adb4f77957d,https://fs.amplifi.io//file?id=562b26b2-f23a-40b5-a6d4-6a7b7727841d,,,,,,,
Z-40014-00015,Bike,#N/A,AIRMATIC,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Grey/Midnight,#N/A,FALSE,40014-00015,40014-00015,40014-00016,40014-00017,40014-00018,40014-00019,,,,,,,,,,49,49,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=6a691a9d-6243-401f-b74d-da7eb344dafa,https://fs.amplifi.io//file?id=6a691a9d-6243-401f-b74d-da7eb344dafa&variant=thumb&extension=png,https://fs.amplifi.io//file?id=7544b8e2-6f1c-4393-a889-048d284e733b,https://fs.amplifi.io//file?id=74ed4797-d336-4dac-adbf-bef9639c4957,https://fs.amplifi.io//file?id=6a691a9d-6243-401f-b74d-da7eb344dafa,https://fs.amplifi.io//file?id=ac1ea384-571a-4ec9-af45-a952088de88d,,,,,,,
Z-40015-00004,Bike,#N/A,AIRMATIC,Women's Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Womens,Black/Lavender,#N/A,FALSE,40015-00004,40015-00004,40015-00005,40015-00006,40015-00007,,,,,,,,,,,49,49,TW,100% Polyester,The Women's Airmatic all-mountain riding apparel provides all day comfort without sacrificing style. Purpose built to offer an exceptional fit for female riders with just the right amount of technical features makes it the perfect choice.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant sublimated graphics
• Unique neckline for added style and comfort
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=784f9419-eff4-4e3c-a12f-97303d9107e6,https://fs.amplifi.io//file?id=784f9419-eff4-4e3c-a12f-97303d9107e6&variant=thumb&extension=png,https://fs.amplifi.io//file?id=8691a743-f6f2-4b85-9c66-2563e9fd4808,https://fs.amplifi.io//file?id=b168236a-3c9f-4cd5-b81c-0da9acc8b576,https://fs.amplifi.io//file?id=784f9419-eff4-4e3c-a12f-97303d9107e6,https://fs.amplifi.io//file?id=1ca5b727-3029-4015-89ef-1cbbd28e57c9,,,,,,,
Z-40015-00008,Bike,#N/A,AIRMATIC,Women's Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Womens,Slate Blue,#N/A,FALSE,40015-00008,40015-00008,40015-00009,40015-00010,40015-00011,,,,,,,,,,,49,49,TW,100% Polyester,The Women's Airmatic all-mountain riding apparel provides all day comfort without sacrificing style. Purpose built to offer an exceptional fit for female riders with just the right amount of technical features makes it the perfect choice.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant sublimated graphics
• Unique neckline for added style and comfort
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=6e123dfb-f5d1-4910-9497-9612fb14506d,https://fs.amplifi.io//file?id=6e123dfb-f5d1-4910-9497-9612fb14506d&variant=thumb&extension=png,https://fs.amplifi.io//file?id=8461f706-db28-49e5-8395-9b07ecbfa4e3,https://fs.amplifi.io//file?id=6e123dfb-f5d1-4910-9497-9612fb14506d,https://fs.amplifi.io//file?id=6b65ba27-dd51-480b-8af4-f73d12e1a83c,https://fs.amplifi.io//file?id=dab6dc2e-cc25-4b6a-87b4-c4ea9978c877,,,,,,,
Z-40018-00000,Bike,#N/A,AIRMATIC,44624 Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black,#N/A,TRUE,40018-00000,40018-00000,40018-00001,40018-00002,40018-00003,40018-00004,,,,,,,,,,54,54,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=1fdd4273-98f3-40a7-844a-c87779445888,https://fs.amplifi.io//file?id=1fdd4273-98f3-40a7-844a-c87779445888&variant=thumb&extension=png,https://fs.amplifi.io//file?id=8e3f1ba7-bad1-4f3f-8671-1c14afdd1188,https://fs.amplifi.io//file?id=1fdd4273-98f3-40a7-844a-c87779445888,,,,,,,,,
Z-40018-00005,Bike,#N/A,AIRMATIC,44624 Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/Red,#N/A,TRUE,40018-00005,40018-00005,40018-00006,40018-00007,40018-00008,40018-00009,,,,,,,,,,54,54,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=f2819f29-4092-43f5-a958-fad325ddaabe,https://fs.amplifi.io//file?id=f2819f29-4092-43f5-a958-fad325ddaabe&variant=thumb&extension=png,https://fs.amplifi.io//file?id=f2819f29-4092-43f5-a958-fad325ddaabe,https://fs.amplifi.io//file?id=c3585349-2d54-406e-b93e-a02999c2e803,https://fs.amplifi.io//file?id=e14ef2be-8557-4c8d-b7cf-2c7959a62747,,,,,,,,
